UzeRom parser: Succesfully loaded program from mode13demo.uze:
	Name .......: Video Mode 13 Demo
	Author .....: Alec Bourque (Uze)
	Year .......: 2015
	Description : A simple demo that demonstrates mode 13
Starting emulator
007D: Op: 47 => 47, Flags: 00 => 00
007E: Op: 47 => 47, Flags: 00 => 00
007F: Op: 47 => 47, Flags: 00 => 00
0080: Op: 47 => 47, Flags: 00 => 00
0081: Op: 40 => 40, Flags: 00 => 00
0082: Op: 00 => 00, Flags: 00 => 00
0083: Op: 47 => 47, Flags: 00 => 00
0084: Op: 43 => 43, Flags: 00 => 00
0085: Op: 14 => 14, Flags: 3F => 3F
0086: Op: 41 => 41, Flags: 00 => 00
0087: Op: 48 => 48, Flags: 00 => 00
0088: Op: 41 => 41, Flags: 00 => 00
0089: Op: 48 => 48, Flags: 00 => 00
008A: Op: 48 => 48, Flags: 00 => 00
008B: Op: 12 => 12, Flags: 3F => 01
008C: Op: 41 => 41, Flags: 00 => 00
008D: Op: 15 => 59, Flags: 1E => 00
008E: Op: 14 => 14, Flags: 3F => 03
008F: Op: 47 => 47, Flags: 00 => 00
0090: Op: 14 => 14, Flags: 3F => 03
0091: Op: 47 => 47, Flags: 00 => 00
0092: Op: 47 => 47, Flags: 00 => 00
0093: Op: 47 => 47, Flags: 00 => 00
0094: Op: 47 => 47, Flags: 00 => 00
0095: Op: 47 => 47, Flags: 00 => 00
0096: Op: 47 => 47, Flags: 00 => 00
0097: Op: 47 => 47, Flags: 00 => 00
0098: Op: 7F => 7F, Flags: 00 => 00
0099: Op: 07 => 07, Flags: 3D => 21
009A: Op: 47 => 47, Flags: 00 => 00
009B: Op: 47 => 47, Flags: 00 => 00
009C: Op: 16 => 5A, Flags: 1E => 00
009D: Op: 48 => 48, Flags: 00 => 00
009E: Op: 16 => 16, Flags: 1E => 1E
009F: Op: 41 => 41, Flags: 00 => 00
00A0: Op: 16 => 16, Flags: 1E => 1E
00A1: Op: 38 => 38, Flags: 00 => 00
00A2: Op: 41 => 41, Flags: 00 => 00
00A3: Op: 1D => 1D, Flags: 00 => 00
00A4: Op: 47 => 47, Flags: 00 => 00
00A5: Op: 38 => 38, Flags: 00 => 00
00A6: Op: 45 => 45, Flags: 00 => 00
00A7: Op: 39 => 39, Flags: 00 => 00
00A8: Op: 47 => 47, Flags: 00 => 00
00A9: Op: 47 => 47, Flags: 00 => 00
00AA: Op: 47 => 47, Flags: 00 => 00
00AB: Op: 47 => 47, Flags: 00 => 00
00AC: Op: 47 => 47, Flags: 00 => 00
00AD: Op: 47 => 47, Flags: 00 => 00
00AE: Op: 40 => 40, Flags: 00 => 00
00AF: Op: 00 => 00, Flags: 00 => 00
00B0: Op: 47 => 47, Flags: 00 => 00
00B1: Op: 39 => 39, Flags: 00 => 00
00B2: Op: 42 => 42, Flags: 00 => 00
00B3: Op: 41 => 41, Flags: 00 => 00
00B4: Op: 1D => 1D, Flags: 00 => 00
00B5: Op: 1D => 1D, Flags: 00 => 00
00B6: Op: 15 => 59, Flags: 1E => 00
00B7: Op: 48 => 48, Flags: 00 => 00
00B8: Op: 12 => 12, Flags: 3F => 00
00B9: Op: 48 => 48, Flags: 00 => 00
00BA: Op: 38 => 38, Flags: 00 => 00
00BB: Op: 14 => 58, Flags: 3F => 00
00BC: Op: 48 => 48, Flags: 00 => 00
00BD: Op: 29 => 29, Flags: 1F => 03
00BE: Op: 47 => 47, Flags: 00 => 00
00BF: Op: 47 => 47, Flags: 00 => 00
00C0: Op: 47 => 47, Flags: 00 => 00
00C1: Op: 47 => 47, Flags: 00 => 00
00C2: Op: 47 => 47, Flags: 00 => 00
00C3: Op: 47 => 47, Flags: 00 => 00
00C4: Op: 47 => 47, Flags: 00 => 00
00C5: Op: 7F => 7F, Flags: 00 => 00
00C6: Op: 07 => 07, Flags: 3D => 21
00C7: Op: 47 => 47, Flags: 00 => 00
00C8: Op: 45 => 45, Flags: 00 => 00
00C9: Op: 47 => 47, Flags: 00 => 00
00CA: Op: 15 => 59, Flags: 1E => 00
00CB: Op: 39 => 39, Flags: 00 => 00
00CC: Op: 39 => 39, Flags: 00 => 00
00CD: Op: 47 => 47, Flags: 00 => 00
00CE: Op: 1D => 1D, Flags: 00 => 00
00CF: Op: 16 => 5A, Flags: 1E => 00
00D0: Op: 38 => 38, Flags: 00 => 00
00D1: Op: 16 => 16, Flags: 1E => 1E
00D2: Op: 41 => 41, Flags: 00 => 00
00D3: Op: 16 => 5A, Flags: 1E => 00
00D4: Op: 16 => 5A, Flags: 1E => 00
00D5: Op: 47 => 47, Flags: 00 => 00
00D6: Op: 47 => 47, Flags: 00 => 00
00D7: Op: 47 => 47, Flags: 00 => 00
00D8: Op: 47 => 47, Flags: 00 => 00
00D9: Op: 47 => 47, Flags: 00 => 00
00DA: Op: 47 => 47, Flags: 00 => 00
00DB: Op: 40 => 40, Flags: 00 => 00
00DC: Op: 00 => 00, Flags: 00 => 00
00DD: Op: 47 => 47, Flags: 00 => 00
00DE: Op: 47 => 47, Flags: 00 => 00
00DF: Op: 39 => 39, Flags: 00 => 00
00E0: Op: 15 => 59, Flags: 1E => 00
00E1: Op: 10 => 10, Flags: 1E => 1E
00E2: Op: 41 => 41, Flags: 00 => 00
00E3: Op: 1D => 1D, Flags: 00 => 00
00E4: Op: 41 => 41, Flags: 00 => 00
00E5: Op: 14 => 14, Flags: 3F => 3F
00E6: Op: 41 => 41, Flags: 00 => 00
00E7: Op: 15 => 59, Flags: 1E => 00
00E8: Op: 14 => 14, Flags: 3F => 01
00E9: Op: 39 => 39, Flags: 00 => 00
00EA: Op: 15 => 15, Flags: 1E => 02
00EB: Op: 47 => 47, Flags: 00 => 00
00EC: Op: 47 => 47, Flags: 00 => 00
00ED: Op: 47 => 47, Flags: 00 => 00
00EE: Op: 47 => 47, Flags: 00 => 00
00EF: Op: 47 => 47, Flags: 00 => 00
00F0: Op: 47 => 47, Flags: 00 => 00
00F1: Op: 47 => 47, Flags: 00 => 00
00F2: Op: 7F => 7F, Flags: 00 => 00
00F3: Op: 07 => 07, Flags: 3D => 21
00F4: Op: 43 => 43, Flags: 00 => 00
00F5: Op: 45 => 45, Flags: 00 => 00
00F6: Op: 48 => 48, Flags: 00 => 00
00F7: Op: 41 => 41, Flags: 00 => 00
00F8: Op: 16 => 5A, Flags: 1E => 00
00F9: Op: 48 => 48, Flags: 00 => 00
00FA: Op: 41 => 41, Flags: 00 => 00
00FB: Op: 21 => 21, Flags: 00 => 00
00FC: Op: 47 => 47, Flags: 00 => 00
00FD: Op: 47 => 47, Flags: 00 => 00
00FE: Op: 43 => 43, Flags: 00 => 00
00FF: Op: 38 => 38, Flags: 00 => 00
0100: Op: 1D => 1D, Flags: 00 => 00
0101: Op: 16 => 16, Flags: 1E => 1E
0102: Op: 47 => 47, Flags: 00 => 00
0103: Op: 47 => 47, Flags: 00 => 00
0104: Op: 47 => 47, Flags: 00 => 00
0105: Op: 47 => 47, Flags: 00 => 00
0106: Op: 47 => 47, Flags: 00 => 00
0107: Op: 47 => 47, Flags: 00 => 00
0108: Op: 40 => 40, Flags: 00 => 00
0109: Op: 00 => 00, Flags: 00 => 00
010A: Op: 47 => 47, Flags: 00 => 00
010B: Op: 47 => 47, Flags: 00 => 00
010C: Op: 38 => 38, Flags: 00 => 00
010D: Op: 48 => 48, Flags: 00 => 00
010E: Op: 14 => 58, Flags: 3F => 00
010F: Op: 15 => 59, Flags: 1E => 00
0110: Op: 41 => 41, Flags: 00 => 00
0111: Op: 40 => 40, Flags: 00 => 00
0112: Op: 14 => 14, Flags: 3F => 3F
0113: Op: 40 => 40, Flags: 00 => 00
0114: Op: 14 => 14, Flags: 3F => 21
0115: Op: 15 => 59, Flags: 1E => 00
0116: Op: 15 => 59, Flags: 1E => 00
0117: Op: 10 => 10, Flags: 1E => 02
0118: Op: 47 => 47, Flags: 00 => 00
0119: Op: 47 => 47, Flags: 00 => 00
011A: Op: 47 => 47, Flags: 00 => 00
011B: Op: 47 => 47, Flags: 00 => 00
011C: Op: 47 => 47, Flags: 00 => 00
011D: Op: 47 => 47, Flags: 00 => 00
011E: Op: 47 => 47, Flags: 00 => 00
011F: Op: 7F => 7F, Flags: 00 => 00
0120: Op: 07 => 07, Flags: 3D => 3D
0121: Op: 43 => 43, Flags: 00 => 00
0122: Op: 43 => 43, Flags: 00 => 00
0123: Op: 38 => 38, Flags: 00 => 00
0124: Op: 41 => 41, Flags: 00 => 00
0125: Op: 16 => 16, Flags: 1E => 1E
0126: Op: 48 => 48, Flags: 00 => 00
0127: Op: 41 => 41, Flags: 00 => 00
0128: Op: 14 => 14, Flags: 3F => 3F
0129: Op: 43 => 43, Flags: 00 => 00
012A: Op: 39 => 39, Flags: 00 => 00
012B: Op: 43 => 43, Flags: 00 => 00
